Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
LXU,LSB INDUSTRIES INC,EQUITY,Materials,Equity,"7,257,910.66",0.41,"7,257,910.66","767,221.00",9.46,United States,New York Stock Exchange Inc.,USD,1,USD,-
TG,TREDEGAR CORP,EQUITY,Materials,Equity,"7,216,241.01",0.4,"7,216,241.01","933,537.00",7.73,United States,New York Stock Exchange Inc.,USD,1,USD,-
MSEX,MIDDLESEX WATER,EQUITY,Utilities,Equity,"7,067,305.60",0.4,"7,067,305.60","92,504.00",76.4,United States,NASDAQ,USD,1,USD,-
CENX,CENTURY ALUMINUM,EQUITY,Materials,Equity,"6,948,172.35",0.39,"6,948,172.35","863,127.00",8.05,United States,NASDAQ,USD,1,USD,-
NGVT,INGEVITY CORP,EQUITY,Materials,Equity,"6,811,823.64",0.38,"6,811,823.64","136,182.00",50.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
MSEX,MIDDLESEX WATER,SWAP,Utilities,Equity,"6,355,410.40",0.36,"6,355,410.40","83,186.00",76.4,United States,NASDAQ,USD,1,USD,-
HSBBK,CASH COLLATERAL USD HSBSW,COLLATERAL,Cash and/or Derivatives,Cash Collateral and Margins,"721,712.20",0.04,"721,712.20","720,000.00",100,United States,-,USD,1,USD,01-Jan-01
WFFUT,CASH COLLATERAL USD WFFUT,COLLATERAL,Cash and/or Derivatives,Cash Collateral and Margins,"402,000.00",0.02,"402,000.00","402,000.00",100,United States,-,USD,1,USD,23-Aug-17
CAD,CAD CASH,CASH,Cash and/or Derivatives,Cash,"309,952.70",0.02,"309,952.70","417,987.00",74.15,Canada,-,USD,1.35,CAD,-
AVA,AVISTA CORP,SWAP,Utilities,Equity,"264,176.76",0.01,"264,176.76","6,213.00",42.52,United States,New York Stock Exchange Inc.,USD,1,USD,-
GSISW,CASH COLLATERAL USD GSISW,COLLATERAL,Cash and/or Derivatives,Cash Collateral and Margins,"90,000.00",0.01,"90,000.00","90,000.00",100,United States,-,USD,1,USD,01-May-02
USD,USD CASH(Corp Act),CASH,Cash and/or Derivatives,Cash,"87,695.18",0,"87,695.18","87,695.00",100,United States,-,USD,1,USD,-
CPK,CHESAPEAKE UTILITIES CORP,SWAP,Utilities,Equity,"81,149.04",0,"81,149.04",648,125.23,United States,New York Stock Exchange Inc.,USD,1,USD,-
IXPM3,EMINI ENERGY SELECT SECTOR JUN 23,INDEX,Cash and/or Derivatives,Futures,0,0,"497,520.00",6,829.2,-,Chicago Mercantile Exchange,USD,1,USD,-
IXSM3,E-MINI UTILITIES SELECT SECTOR JUN,INDEX,Cash and/or Derivatives,Futures,0,0,"2,140,160.00",32,668.8,-,Chicago Mercantile Exchange,USD,1,USD,-
FAM3,S&P MID 400 EMINI JUN 23,INDEX,Cash and/or Derivatives,Futures,0,0,"4,223,820.00",17,"2,484.60",-,Index And Options Market,USD,1,USD,-
USD,USD CASH,CASH,Cash and/or Derivatives,Cash,"-17,078,544.09",-0.96,"-17,078,544.09","-17,078,543.00",100,United States,-,USD,1,USD,-
 ,,,,,,,,,,,,,,,
"The content contained herein is owned or licensed by BlackRock and/or its third-party information providers and is protected by applicable copyrights, trademarks, service marks, and/or other intellectual property rights. Such content is solely for your personal, non-commercial use. Accordingly, you may not copy, distribute, modify, post, frame or deep link this content. You may download material displayed on this Website for your personal use provided you also retain all copyright and other proprietary notices contained on the materials. Modification or use of the materials for any other purpose violates BlackRock's intellectual property rights.
Holdings subject to change. See www.iShares.com for the most recent funds holdings.
The values for “price” shown herein generally represent a price provided by a third-party pricing vendor for the portfolio holding and do not reflect the impact of systematic fair valuation (“the vendor price”). The vendor price is not necessarily the price at which the Fund values the portfolio holding for the purposes of determining its net asset value (the “valuation price”). Additionally, where applicable, foreign currency exchange rates with respect to the portfolio holdings denominated in non-U.S. currencies for the valuation price will be generally determined as of the close of business on the New York Stock Exchange, whereas for the vendor price will be generally determined as of 4 p.m. London. The values shown herein for “market value,” “weight,” and “notional value” (the “calculated values”) are based off of the vendor price and may have been different if the valuation price were to have been used to calculate such values. The vendor price is as of the most recent practicable date and may not necessarily be as of the date shown above.
Please see the “Determination of Net Asset Value” section of each Fund’s prospectus for additional information on the Fund’s valuation policies and procedures.
CAREFULLY CONSIDER THE FUNDS' INVESTMENT OBJECTIVES, RISK FACTORS, AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS' PROSPECTUSES OR, IF AVAILABLE, THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING WWW.ISHARES.COM OR WWW.BLACKROCK.COM. READ THE PROSPECTUS CAREFULLY BEFORE INVESTING. INVESTING INVOLVES RISK, INCLUDING POSSIBLE LOSS OF PRINCIPAL.
This information should not be relied upon as research, investment advice, or a recommendation regarding any products, strategies, or any security in particular.
This material is strictly for illustrative, educational, or informational purposes and is subject to change.
The Funds are distributed by BlackRock Investments, LLC (together with its affiliates, “BlackRock”).
The iShares Funds are not sponsored, endorsed, issued, sold or promoted by Bloomberg, BlackRock Index Services, LLC, Cboe Global Indices, LLC, Cohen & Steers, European Public Real Estate Association (“EPRA® ”), FTSE International Limited (“FTSE”), ICE Data Indices, LLC, NSE Indices Ltd, JPMorgan, JPX Group, London Stock Exchange Group (“LSEG”), MSCI Inc., Markit Indices Limited, Morningstar, Inc., Nasdaq, Inc., National Association of Real Estate Investment Trusts (“NAREIT”), Nikkei, Inc., Russell, S&P Dow Jones Indices LLC or STOXX Ltd. None of these companies make any representation regarding the advisability of investing in the Funds. With the exception of BlackRock Index Services, LLC, who is an affiliate, BlackRock Investments, LLC is not affiliated with the companies listed above. Neither FTSE, LSEG, nor NAREIT makes any warranty regarding the FTSE Nareit Equity REITS Index, FTSE Nareit All Residential Capped Index or FTSE Nareit All Mortgage Capped Index. Neither FTSE, EPRA, LSEG, nor NAREIT makes any warranty regarding the FTSE EPRA Nareit Developed ex-U.S. Index, FTSE EPRA Nareit Developed Green Target Index or FTSE EPRA Nareit Global REITs Index. “FTSE®” is a trademark of London Stock Exchange Group companies and is used by FTSE under license.
©2023 BlackRock, Inc or its affiliates. All rights reserved. iSHARES, iBONDS and BLACKROCK are trademarks of BlackRock, Inc. or its affiliates. All other trademarks are those of their respective owners.
iCRMH0323U/S-2742939",,,,,,,,,,,,,,,
