Company_Name,% of Market Value,Sector,Market Allocation,Market Value,Shares,Ticker
Inhibikase Therapeutics Inc.,0.00%,Biotechnology,US,"$1,227.64 ","1,622",IKT
Inhibrx Inc.,0.00%,Biotechnology,US,"$97,793.26 ","3,437",INBX
Inmune Bio Inc.,0.00%,Biotechnology,US,"$12,101.01 ","1,232",INMB
Inovio Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$29,466.88 ","28,154",INO
Instil Bio Inc.,0.00%,Biotechnology,US,"$5,184.67 ","5,856",TIL
Intercept Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$89,852.73 ","3,829",ICPT
Invitae Corp.,0.00%,Biotechnology,US,"$46,815.05 ","25,407",NVTA
iTeos Therapeutics Inc.,0.00%,Biotechnology,US,"$47,629.86 ","2,559",ITOS
Jasper Therapeutics Inc.,0.00%,Biotechnology,US,"$14,550.01 ","8,075",JSPR
Karyopharm Therapeutics Inc.,0.00%,Biotechnology,US,"$56,300.10 ","11,607",KPTI
Kineta Inc.,0.00%,Biotechnology,US,$604.54 ,112,KA
Kiniksa Pharmaceuticals Ltd.,0.00%,Biotechnology,BM,"$44,364.91 ","3,046",KNSA
Kinnate Biopharma Inc.,0.00%,Biotechnology,US,"$8,536.32 ","2,490",KNTE
Kodiak Sciences Inc.,0.00%,Biotechnology,US,"$19,831.30 ","3,342",KOD
Kronos Bio Inc.,0.00%,Biotechnology,US,"$7,437.64 ","3,327",KRON
Krystal Biotech Inc.,0.00%,Biotechnology,US,"$267,347.77 ","2,349",KRYS
Kymera Therapeutics Inc.,0.00%,Biotechnology,US,"$174,227.23 ","4,077",KYMR
Larimar Therapeutics Inc.,0.00%,Biotechnology,US,"$18,631.85 ","2,907",LRMR
Leap Therapeutics Inc.,0.00%,Biotechnology,US,"$4,137.00 ","7,803",LPTX
Lexicon Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$29,995.79 ","9,263",LXRX
Ligand Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$174,696.09 ","1,689",LGND
Lineage Cell Therapeutics Inc.,0.00%,Biotechnology,US,"$28,409.83 ","15,418",LCTX
Liquidia Corp.,0.00%,Biotechnology,US,"$47,443.85 ","5,219",LQDA
Lisata Therapeutics Inc.,0.00%,Biotechnology,US,"$1,781.43 ",403,LSTA
Longboard Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$12,906.03 ","1,150",LBPH
Longeveron Inc.,0.00%,Biotechnology,US,"$1,576.29 ",403,LGVN
Lumos Pharma Inc.,0.00%,Biotechnology,US,"$2,612.33 ",638,LUMO
Lyra Therapeutics Inc.,0.00%,Biotechnology,US,"$5,277.09 ","1,623",LYRA
MannKind Corp.,0.00%,Biotechnology,US,"$137,921.23 ","26,441",MNKD
Marker Therapeutics Inc.,0.00%,Biotechnology,US,$296.36 ,259,MRKR
Merrimack Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$16,181.67 ",962,MACK
Mersana Therapeutics Inc.,0.00%,Biotechnology,US,"$55,634.94 ","9,375",MRSN
MiMedx Group Inc.,0.00%,Biotechnology,US,"$59,470.94 ","11,461",MDXG
Mineralys Therapeutics Inc.,0.00%,Biotechnology,US,"$3,866.85 ",212,MLYS
Minerva Neurosciences Inc.,0.00%,Biotechnology,US,"$1,648.78 ",439,NERV
Molecular Templates Inc.,0.00%,Biotechnology,US,"$1,870.46 ","3,514",MTEM
Moleculin Biotech Inc.,0.00%,Biotechnology,US,"$2,126.11 ","2,100",MBRX
Monopar Therapeutics Inc.,0.00%,Biotechnology,US,$261.29 ,179,MNPR
Myriad Genetics Inc.,0.00%,Biotechnology,US,"$236,959.39 ","8,215",MYGN
NanoString Technologies Inc.,0.00%,Biotechnology,US,"$63,796.34 ","4,805",NSTG
NanoViricides Inc.,0.00%,Biotechnology,US,"$1,843.65 ","1,023",NNVC
Nektar Therapeutics,0.00%,Biotechnology,US,"$20,310.72 ","19,927",NKTR
NexImmune Inc.,0.00%,Biotechnology,US,$574.55 ,"1,174",NEXI
NextCure Inc.,0.00%,Biotechnology,US,"$3,696.49 ","1,807",NXTC
NightHawk Biosciences Inc.,0.00%,Biotechnology,US,"$2,150.28 ","2,405",NHWK
Novavax Inc.,0.00%,Biotechnology,US,"$93,413.49 ","8,989",NVAX
NRX Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$2,627.28 ","3,336",NRXP
Nuvalent Inc.,0.00%,Biotechnology,US,"$141,973.57 ","2,961",NUVL
Nuvation Bio Inc.,0.00%,Biotechnology,US,"$31,069.11 ","14,243",NUVB
Ocuphire Pharma Inc.,0.00%,Biotechnology,US,"$13,447.98 ","1,935",OCUP
Olema Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$22,264.95 ","3,431",OLMA
Omega Therapeutics Inc.,0.00%,Biotechnology,US,"$37,318.01 ","3,596",OMGA
Oncocyte Corp.,0.00%,Biotechnology,US,"$3,896.68 ","10,497",OCX
Onconova Therapeutics Inc.,0.00%,Biotechnology,US,"$1,941.82 ","1,246",ONTX
Oncorus Inc.,0.00%,Biotechnology,US,$398.20 ,903,ONCR
Oncternal Therapeutics Inc.,0.00%,Biotechnology,US,"$3,056.87 ","7,361",ONCT
Orgenesis Inc.,0.00%,Biotechnology,US,"$2,878.52 ","1,931",ORGS
ORIC Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$27,572.84 ","3,936",ORIC
Outlook Therapeutics Inc.,0.00%,Biotechnology,US,"$17,504.84 ","12,305",OTLK
Palatin Technologies Inc.,0.00%,Biotechnology,US,"$2,597.42 ",841,PTN
Pasithea Therapeutics Corp.,0.00%,Biotechnology,US,$62.49 ,134,KTTA
Passage Bio Inc.,0.00%,Biotechnology,US,"$7,187.31 ","5,101",PASG
PepGen Inc.,0.00%,Biotechnology,US,"$21,249.12 ","1,039",PEPG
Perspective Therapeutics Inc.,0.00%,Biotechnology,US,"$27,802.12 ","32,970",CATX
PharmaCyte Biotech Inc.,0.00%,Biotechnology,US,"$8,023.74 ","2,028",PMCB
Phathom Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$31,447.24 ","2,169",PHAT
Pliant Therapeutics Inc.,0.00%,Biotechnology,US,"$201,893.77 ","5,275",PLRX
PMV Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$25,500.51 ","4,083",PMVP
Poseida Therapeutics Inc.,0.00%,Biotechnology,US,"$18,366.90 ","5,135",PSTX
Praxis Precision Medicines Inc.,0.00%,Biotechnology,US,"$6,214.19 ","4,410",PRAX
Processa Pharmaceuticals Inc.,0.00%,Biotechnology,US,$859.03 ,"1,021",PCSA
Protara Therapeutics Inc.,0.00%,Biotechnology,US,"$4,148.57 ",969,TARA
Pyxis Oncology Inc.,0.00%,Biotechnology,US,"$10,202.16 ","2,553",PYXS
Rallybio Corp.,0.00%,Biotechnology,US,"$15,840.23 ","2,169",RLYB
Rani Therapeutics Holdings Inc.,0.00%,Biotechnology,US,"$11,332.62 ","1,780",RANI
RAPT Therapeutics Inc.,0.00%,Biotechnology,US,"$74,747.01 ","3,031",RAPT
Recursion Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$77,510.83 ","11,994",RXRX
Relay Therapeutics Inc.,0.00%,Biotechnology,US,"$186,865.66 ","12,130",RLAY
Relmada Therapeutics Inc.,0.00%,Biotechnology,US,"$10,527.87 ","3,084",RLMD
Reneo Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$10,180.29 ",735,RPHM
RenovoRx Inc.,0.00%,Biotechnology,US,$154.82 ,37,RNXT
Replimune Group Inc.,0.00%,Biotechnology,US,"$109,618.05 ","4,836",REPL
Rezolute Inc.,0.00%,Biotechnology,US,"$8,106.58 ","2,870",RZLT
Rhythm Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$162,246.63 ","5,937",RYTM
Rigel Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$26,906.89 ","17,575",RIGL
Rocket Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$155,630.94 ","6,410",RCKT
SAB Biotherapeutics Inc.,0.00%,Biotechnology,US,"$1,672.09 ","1,374",SABS
Sangamo Therapeutics Inc.,0.00%,Biotechnology,US,"$28,271.90 ","14,195",SGMO
Satsuma Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$2,557.64 ","1,781",STSA
Scholar Rock Holding Corp.,0.00%,Biotechnology,US,"$37,361.74 ","4,309",SRRK
Selecta Biosciences Inc.,0.00%,Biotechnology,US,"$20,876.47 ","12,948",SELB
Sensei Biotherapeutics Inc.,0.00%,Biotechnology,US,"$2,977.15 ","1,505",SNSE
Senti Biosciences Inc.,0.00%,Biotechnology,US,"$1,432.60 ","1,076",SNTI
Shattuck Labs Inc.,0.00%,Biotechnology,US,"$10,136.36 ","2,494",STTK
Singular Genomics Systems Inc.,0.00%,Biotechnology,US,"$5,395.10 ","4,022",OMIC
Solid Biosciences Inc.,0.00%,Biotechnology,US,"$3,620.30 ",548,SLDB
Sorrento Therapeutics Inc.,0.00%,Biotechnology,US,"$3,043.53 ","7,246",SRNEQ
Spectrum Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$25,962.49 ","19,654",SPPI
Spero Therapeutics Inc.,0.00%,Biotechnology,US,"$7,317.67 ","3,051",SPRO
SpringWorks Therapeutics Inc.,0.00%,Biotechnology,US,"$157,340.41 ","4,967",SWTX
Surrozen Inc.,0.00%,Biotechnology,US,$565.66 ,679,SRZN
Synlogic Inc.,0.00%,Biotechnology,US,"$3,724.36 ","5,187",SYBX
Talaris Therapeutics Inc.,0.00%,Biotechnology,US,"$10,171.90 ","2,607",TALS
TCR2 Therapeutics Inc.,0.00%,Biotechnology,US,"$7,995.65 ","3,344",TCRR
Telesis Bio Inc.,0.00%,Biotechnology,US,"$3,677.99 ","1,048",TBIO
Tenaya Therapeutics Inc.,0.00%,Biotechnology,US,"$31,500.64 ","4,374",TNYA
TFF Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$1,481.07 ","1,918",TFFP
Theravance Biopharma Inc.,0.00%,Biotechnology,KY,"$85,087.59 ","5,799",TBPH
Theriva Biologics Inc.,0.00%,Biotechnology,US,$962.58 ,"1,128",TOVX
Theseus Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$19,196.86 ","1,384",THRX
Tonix Pharmaceuticals Holding Corp.,0.00%,Biotechnology,US,"$4,461.82 ","6,333",TNXP
Trevi Therapeutics Inc.,0.00%,Biotechnology,US,"$17,850.84 ","3,830",TRVI
TScan Therapeutics Inc.,0.00%,Biotechnology,US,"$3,640.07 ","1,178",TCRX
UNITY Biotechnology Inc.,0.00%,Biotechnology,US,"$3,533.49 ","1,219",UBX
Vaccinex Inc.,0.00%,Biotechnology,US,$888.53 ,"1,822",VCNX
Vaxart Inc.,0.00%,Biotechnology,US,"$15,286.69 ","13,870",VXRT
Vaxxinity Inc.,0.00%,Biotechnology,US,"$14,648.30 ","5,076",VAXX
Ventyx Biosciences Inc.,0.00%,Biotechnology,US,"$199,941.18 ","3,925",VTYX
Vera Therapeutics Inc.,0.00%,Biotechnology,US,"$25,659.00 ","2,848",VERA
Verrica Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$23,211.39 ","2,777",VRCA
Verve Therapeutics Inc.,0.00%,Biotechnology,US,"$91,697.07 ","4,249",VERV
Vigil Neuroscience Inc.,0.00%,Biotechnology,US,"$21,362.48 ","1,812",VIGL
vTv Therapeutics Inc.,0.00%,Biotechnology,US,"$2,222.42 ","2,130",VTVT
Werewolf Therapeutics Inc.,0.00%,Biotechnology,US,"$3,447.02 ","1,074",HOWL
Xencor Inc.,0.00%,Biotechnology,US,"$230,433.50 ","6,433",XNCR
Xeris Biopharma Holdings Inc.,0.00%,Biotechnology,US,"$42,861.30 ","13,998",XERS
XOMA Corp.,0.00%,Biotechnology,US,"$23,168.22 ",930,XOMA
Y-mAbs Therapeutics Inc.,0.00%,Biotechnology,US,"$32,063.44 ","3,951",YMAB
Zentalis Pharmaceuticals Inc.,0.00%,Biotechnology,US,"$135,203.20 ","4,530",ZNTL
Zevra Therapeutics Inc.,0.00%,Biotechnology,US,"$24,119.82 ","3,297",ZVRA
Zomedica Corp.,0.00%,Biotechnology,CA,"$31,174.87 ","114,820",ZOM
Zymeworks Inc.,0.00%,Biotechnology,US,"$74,138.07 ","6,514",ZYME
Boston Beer Co. Inc.,0.01%,Brewers,US,"$416,990.55 ",969,SAM
Vulcan Materials Co.,0.06%,Building Materials: Other,US,"$3,339,163.78 ","14,074",VMC
Builders FirstSource Inc.,0.03%,Building Materials: Other,US,"$2,002,096.59 ","15,593",BLDR
Fortune Brands Innovations Inc.,0.02%,Building Materials: Other,US,"$1,189,142.07 ","13,568",FBIN
Owens Corning,0.02%,Building Materials: Other,US,"$1,390,398.62 ","9,608",OC
TopBuild Corp.,0.02%,Building Materials: Other,US,"$1,024,469.79 ","3,354",BLD
Acuity Brands Inc.,0.01%,Building Materials: Other,US,"$725,587.57 ","3,403",AYI
AZEK Co. Inc.,0.01%,Building Materials: Other,US,"$469,139.37 ","12,759",AZEK
Louisiana-Pacific Corp.,0.01%,Building Materials: Other,US,"$552,957.04 ","6,832",LPX
Mohawk Industries Inc.,0.01%,Building Materials: Other,US,"$820,877.51 ","5,721",MHK
Mueller Water Products Inc.,0.01%,Building Materials: Other,US,"$300,461.95 ","16,550",MWA
Summit Materials Inc.,0.01%,Building Materials: Other,US,"$465,509.43 ","12,535",SUM
Alpha Pro Tech Ltd.,0.00%,Building Materials: Other,US,"$8,613.29 ","1,578",APT
BlueLinx Holdings Inc.,0.00%,Building Materials: Other,US,"$83,505.12 ",880,BXC
Griffon Corp.,0.00%,Building Materials: Other,US,"$199,648.65 ","5,180",GFF
Jewett-Cameron Trading Co. Ltd.,0.00%,Building Materials: Other,CA,$748.03 ,114,JCTCF
Masonite International Corp.,0.00%,Building Materials: Other,CA,"$290,793.21 ","2,348",DOOR
Masterbrand Inc.,0.00%,Building Materials: Other,US,"$150,103.72 ","13,729",MBC
Orion Energy Systems Inc.,0.00%,Building Materials: Other,US,"$5,443.28 ","2,609",OESX
Patrick Industries Inc.,0.00%,Building Materials: Other,US,"$209,036.99 ","2,248",PATK
Safe & Green Holdings Corp.,0.00%,Building Materials: Other,US,$504.76 ,423,SGBX
Advanced Drainage Systems Inc.,0.02%,"Building, Roofing/Wallboard and Plumbing",US,"$898,043.78 ","7,733",WMS
Beacon Roofing Supply Inc.,0.01%,"Building, Roofing/Wallboard and Plumbing",US,"$421,004.78 ","5,163",BECN
A O Smith Corp.,0.02%,Building: Climate Control,US,"$1,226,961.13 ","13,261",AOS
Modine Manufacturing Co.,0.00%,Building: Climate Control,US,"$146,034.72 ","5,155",MOD
Korn Ferry,0.01%,Business Training and Employment Agencie,US,"$365,596.18 ","5,619",KFY
Barrett Business Services Inc.,0.00%,Business Training and Employment Agencie,US,"$81,601.03 ",720,BBSI
BGSF Inc.,0.00%,Business Training and Employment Agencie,US,"$16,000.24 ","1,226",BGSF
Cross Country Healthcare Inc.,0.00%,Business Training and Employment Agencie,US,"$110,416.66 ","3,708",CCRN
DHI Group Inc.,0.00%,Business Training and Employment Agencie,US,"$24,963.80 ","5,021",DHX
Heidrick & Struggles International Inc.,0.00%,Business Training and Employment Agencie,US,"$67,312.93 ","1,979",HSII
HireQuest Inc.,0.00%,Business Training and Employment Agencie,US,"$14,769.46 ",522,HQI
Hudson Global Inc.,0.00%,Business Training and Employment Agencie,US,"$10,815.32 ",367,HSON
Kforce Inc.,0.00%,Business Training and Employment Agencie,US,"$169,810.46 ","2,119",KFRC
Professional Diversity Network Inc.,0.00%,Business Training and Employment Agencie,US,"$1,049.06 ",172,IPDN
TSR Inc.,0.00%,Business Training and Employment Agencie,US,"$1,736.26 ",172,TSRI
ZipRecruiter Inc.,0.00%,Business Training and Employment Agencie,US,"$118,582.47 ","5,167",ZIP
Comcast Corp.,0.42%,Cable Television Services,US,"$24,954,996.71 ","445,226",CMCSA
Charter Communications Inc.,0.08%,Cable Television Services,US,"$4,835,602.37 ","9,680",CHTR
Liberty Broadband Corp.,0.02%,Cable Television Services,US,"$1,464,489.46 ","12,750",LBRDK
Cable One Inc.,0.01%,Cable Television Services,US,"$635,507.18 ",618,CABO
fuboTV Inc.,0.00%,Cable Television Services,US,"$32,021.70 ","20,732",FUBO
Liberty Broadband Corp.,0.00%,Cable Television Services,US,"$198,319.29 ","1,732",LBRDK
cbdMD Inc.,0.00%,Cannabis Producers,US,$255.58 ,58,YCBD
Caesars Entertainment Inc.,0.02%,Casinos and Gambling,US,"$1,327,796.93 ","21,639",CZR
Churchill Downs Inc.,0.02%,Casinos and Gambling,US,"$1,413,000.33 ","3,565",CHDN
Light & Wonder Inc.,0.01%,Casinos and Gambling,US,"$810,613.50 ","9,924",LNW
Red Rock Resorts Inc.,0.01%,Casinos and Gambling,US,"$344,922.67 ","5,217",RRR
Bally's Corp.,0.00%,Casinos and Gambling,US,"$68,969.31 ","2,960",BALY
Everi Holdings Inc.,0.00%,Casinos and Gambling,US,"$194,832.72 ","9,461",EVRI
PlayAGS Inc.,0.00%,Casinos and Gambling,US,"$29,108.00 ","4,069",AGS
Playstudios Inc.,0.00%,Casinos and Gambling,US,"$49,038.05 ","8,264",MYPS
Eagle Materials Inc.,0.01%,Cement,US,"$763,117.35 ","3,800",EXP
Smith-Midland Corp.,0.00%,Cement,US,"$10,072.15 ",451,SMID
Sensient Technologies Corp.,0.01%,Chemicals: Diversified,US,"$450,014.77 ","4,461",SXT
Univar Solutions Inc.,0.01%,Chemicals: Diversified,US,"$806,232.70 ","16,763",UNVR
Westlake Corp.,0.01%,Chemicals: Diversified,US,"$521,778.16 ","3,385",WLK
Amyris Inc.,0.00%,Chemicals: Diversified,US,"$26,416.93 ","23,848",AMRS
Hawkins Inc.,0.00%,Chemicals: Diversified,US,"$103,517.39 ","1,894",HWKN
LSB Industries Inc.,0.00%,Chemicals: Diversified,US,"$72,323.30 ","5,978",LXU
Rayonier Advanced Materials Inc.,0.00%,Chemicals: Diversified,US,"$50,787.18 ","6,891",RYAM
NexPoint Diversified Real Estate Trust,0.00%,Closed End Investments,US,"$49,525.80 ","3,429",NXDT
Lululemon Athletica Inc.,0.11%,Clothing and Accessories,US,"$6,673,124.87 ","12,964",LULU
Tapestry Inc.,0.02%,Clothing and Accessories,US,"$1,384,806.78 ","25,046",TPR
VF Corp.,0.02%,Clothing and Accessories,US,"$1,185,680.48 ","37,224",VFC.VI
Carter's Inc.,0.01%,Clothing and Accessories,US,"$364,349.97 ","3,854",CRI
Columbia Sportswear Co.,0.01%,Clothing and Accessories,US,"$380,165.54 ","3,359",COLM
Kontoor Brands Inc.,0.01%,Clothing and Accessories,US,"$360,552.00 ","5,892",KTB
Ralph Lauren Corp.,0.01%,Clothing and Accessories,US,"$618,736.71 ","3,978",RL
Delta Apparel Inc.,0.00%,Clothing and Accessories,US,"$12,568.35 ",814,DLA
G-III Apparel Group Ltd.,0.00%,Clothing and Accessories,US,"$93,529.96 ","4,397",GIII
Hanesbrands Inc.,0.00%,Clothing and Accessories,US,"$266,843.93 ","37,587",HBI
Jerash Holdings US Inc.,0.00%,Clothing and Accessories,US,"$1,709.23 ",275,JRSH
Lakeland Industries Inc.,0.00%,Clothing and Accessories,US,"$15,471.88 ",948,LAKE
Levi Strauss & Co.,0.00%,Clothing and Accessories,US,"$183,134.65 ","9,348",LEVI
Oxford Industries Inc.,0.00%,Clothing and Accessories,US,"$222,874.97 ","1,594",OXM
Under Armour Inc.,0.00%,Clothing and Accessories,US,"$231,697.57 ","19,280",UA
Under Armour Inc.,0.00%,Clothing and Accessories,US,"$231,697.57 ","19,280",UA
Under Armour Inc.,0.00%,Clothing and Accessories,US,"$226,967.71 ","20,836",UA
Under Armour Inc.,0.00%,Clothing and Accessories,US,"$226,967.71 ","20,836",UA
Vera Bradley Inc.,0.00%,Clothing and Accessories,US,"$18,742.10 ","2,640",VRA
Arch Resources Inc.,0.01%,Coal,US,"$308,053.66 ","1,860",ARCH
Peabody Energy Corp.,0.01%,Coal,US,"$422,596.89 ","12,986",BTU
American Resources Corp.,0.00%,Coal,US,"$9,005.90 ","5,988",AREC
CONSOL Energy Inc.,0.00%,Coal,US,"$221,056.59 ","2,750",CEIX
NACCO Industries Inc.,0.00%,Coal,US,"$20,176.76 ",412,NC
Ramaco Resources Inc.,0.00%,Coal,US,"$25,369.93 ","2,303",METC
SunCoke Energy Inc.,0.00%,Coal,US,"$90,607.07 ","8,596",SXC
United Rentals Inc.,0.06%,Commercial Vehicle-Equipment Leasing,US,"$3,593,887.13 ","7,346",URI
WillScot Mobile Mini Holdings Corp.,0.02%,Commercial Vehicle-Equipment Leasing,US,"$1,339,697.28 ","21,780",WSC
Air Lease Corp.,0.01%,Commercial Vehicle-Equipment Leasing,US,"$605,085.93 ","11,104",AL
Herc Holdings Inc.,0.01%,Commercial Vehicle-Equipment Leasing,US,"$374,372.60 ","2,763",HRI
Ryder System Inc.,0.01%,Commercial Vehicle-Equipment Leasing,US,"$497,200.37 ","4,636",R
Triton International Ltd.,0.01%,Commercial Vehicle-Equipment Leasing,BM,"$668,967.28 ","5,973",TR7.MU
Custom Truck One Source Inc.,0.00%,Commercial Vehicle-Equipment Leasing,US,"$53,105.41 ","6,241",CTOS
H&E Equipment Services Inc.,0.00%,Commercial Vehicle-Equipment Leasing,US,"$160,001.13 ","3,235",HEES
Mega Matrix Corp.,0.00%,Commercial Vehicle-Equipment Leasing,US,$362.05 ,158,MPU
PACCAR Inc.,0.10%,Commercial Vehicles and Parts,US,"$5,599,088.92 ","55,330",PCAR
Allison Transmission Holdings Inc.,0.01%,Commercial Vehicles and Parts,US,"$639,139.12 ","9,669",ALSN
Federal Signal Corp.,0.01%,Commercial Vehicles and Parts,US,"$446,765.47 ","6,418",FSS
Blue Bird Corp.,0.00%,Commercial Vehicles and Parts,US,"$43,685.54 ","1,724",BLBD
Hyliion Holdings Corp.,0.00%,Commercial Vehicles and Parts,US,"$23,539.41 ","12,682",HYLN
Nikola Corp.,0.00%,Commercial Vehicles and Parts,US,"$54,941.61 ","45,795",NKLA
Shyft Group Inc.,0.00%,Commercial Vehicles and Parts,US,"$111,730.41 ","3,288",SHYF
Workhorse Group Inc.,0.00%,Commercial Vehicles and Parts,US,"$20,890.81 ","16,365",WKHS
Xos Inc.,0.00%,Commercial Vehicles and Parts,US,"$2,810.72 ","4,089",XOS
Apple Inc.,6.22%,Computer Hardware,US,"$365,978,450.16 ","1,591,965",AAPL
NetApp Inc.,0.03%,Computer Hardware,US,"$1,944,638.32 ","22,823",NTAP
Seagate Technology Holdings plc,0.03%,Computer Hardware,IE,"$1,652,058.22 ","20,748",STX
National Instruments Corp.,0.02%,Computer Hardware,US,"$1,099,567.42 ","13,937",NATI
Concentrix Corp.,0.01%,Computer Hardware,US,"$577,025.98 ","4,413",CNXC
TD SYNNEX Corp.,0.01%,Computer Hardware,US,"$605,165.47 ","5,016",SNX
Vertiv Holdings Co.,0.01%,Computer Hardware,US,"$648,502.67 ","32,081",VRT
3D Systems Corp.,0.00%,Computer Hardware,US,"$162,940.80 ","13,129",DDD
Applied Digital Corp.,0.00%,Computer Hardware,US,"$27,356.46 ","6,310",APLD
Greenidge Generation Holdings Inc.,0.00%,Computer Hardware,US,$575.42 ,867,GREE
Identiv Inc.,0.00%,Computer Hardware,US,"$22,093.30 ","2,965",INVE
PC Connection Inc.,0.00%,Computer Hardware,US,"$63,825.42 ","1,170",CNXN
TransAct Technologies Inc.,0.00%,Computer Hardware,US,"$6,937.55 ",914,TACT
International Business Machines Corp.,0.28%,Computer Services,US,"$16,399,462.05 ","95,754",IBM
Snowflake Inc.,0.10%,Computer Services,US,"$5,808,468.79 ","28,952",SNOW
Cognizant Technology Solutions Corp.,0.07%,Computer Services,US,"$4,364,277.88 ","53,948",CTSH
Gartner Inc.,0.06%,Computer Services,US,"$3,258,587.48 ","7,952",IT
Hewlett Packard Enterprise Co.,0.05%,Computer Services,US,"$2,662,744.79 ","137,245",HPE
VeriSign Inc.,0.05%,Computer Services,US,"$2,836,236.14 ","9,438",VRSN
Cloudflare Inc.,0.03%,Computer Services,US,"$1,836,520.35 ","28,810",NET
Leidos Holdings Inc.,0.03%,Computer Services,US,"$1,830,831.74 ","14,490",LDOS
Okta Inc.,0.03%,Computer Services,US,"$1,503,262.06 ","16,191",OKTA
CACI International Inc.,0.02%,Computer Services,US,"$1,056,270.19 ","2,488",CACI
F5 Inc.,0.02%,Computer Services,US,"$1,157,522.79 ","6,359",FFIV
KBR Inc.,0.02%,Computer Services,US,"$1,110,827.90 ","14,452",KBR
Dun & Bradstreet Holdings Inc.,0.01%,Computer Services,US,"$418,943.93 ","27,683",DNB
DXC Technology Co.,0.01%,Computer Services,US,"$780,231.80 ","24,146",DXC
Perficient Inc.,0.01%,Computer Services,US,"$321,019.44 ","3,650",PRFT
Qualys Inc.,0.01%,Computer Services,US,"$537,564.85 ","3,513",QLYS
Science Applications International Corp.,0.01%,Computer Services,US,"$797,033.62 ","5,766",SAIC
Tenable Holdings Inc.,0.01%,Computer Services,US,"$599,790.69 ","11,968",TENB
Teradata Corp.,0.01%,Computer Services,US,"$563,303.50 ","10,741",TDC
Verint Systems Inc.,0.01%,Computer Services,US,"$331,338.06 ","6,702",VRNT
AvePoint Inc.,0.00%,Computer Services,US,"$88,621.38 ","15,072",AVPT
Computer Task Group Inc.,0.00%,Computer Services,US,"$8,997.31 ",981,CTG
Consensus Cloud Solutions Inc.,0.00%,Computer Services,US,"$93,791.32 ","1,854",CCSI
Couchbase Inc.,0.00%,Computer Services,US,"$53,048.99 ","2,549",BASE
CSP Inc.,0.00%,Computer Services,US,"$8,145.67 ",475,CSPI
Cyxtera Technologies Inc.,0.00%,Computer Services,US,"$4,221.76 ","9,582",CYXT
Data Storage Corp.,0.00%,Computer Services,US,$520.37 ,219,DTST
DecisionPoint Systems Inc.,0.00%,Computer Services,US,"$5,818.99 ",611,DPSI
Diebold Nixdorf Inc.,0.00%,Computer Services,US,"$9,779.13 ","8,945",DBD
DigitalOcean Holdings Inc.,0.00%,Computer Services,US,"$283,712.16 ","6,639",DOCN
ePlus Inc.,0.00%,Computer Services,US,"$162,637.29 ","2,757",PLUS
Grid Dynamics Holdings Inc.,0.00%,Computer Services,US,"$83,653.90 ","5,680",GDYN
Hackett Group Inc.,0.00%,Computer Services,US,"$59,115.95 ","2,351",HCKT
Innodata Inc.,0.00%,Computer Services,US,"$25,252.92 ","2,816",INOD
IronNet Inc.,0.00%,Computer Services,US,"$2,423.75 ","6,444",IRNT
Issuer Direct Corp.,0.00%,Computer Services,US,"$9,566.98 ",375,ISDR
KORE Group Holdings Inc.,0.00%,Computer Services,US,"$4,639.05 ","2,807",KORE
Mastech Digital Inc.,0.00%,Computer Services,US,$278.17 ,23,MHH
OMNIQ Corp.,0.00%,Computer Services,US,"$4,630.14 ",599,OMQS
Parsons Corp.,0.00%,Computer Services,US,"$265,754.26 ","4,509",PSN
Rigetti Computing Inc.,0.00%,Computer Services,US,"$6,395.39 ","10,043",RGTI
Rimini Street Inc.,0.00%,Computer Services,US,"$25,508.86 ","5,034",RMNI
SilverSun Technologies Inc.,0.00%,Computer Services,US,"$1,733.41 ",405,SSNT
Steel Connect Inc.,0.00%,Computer Services,US,"$5,713.96 ","4,017",STCN
Synchronoss Technologies Inc.,0.00%,Computer Services,US,"$12,317.59 ","10,284",SNCR
Thoughtworks Holding Inc.,0.00%,Computer Services,US,"$84,490.46 ","10,010",TWKS
Unisys Corp.,0.00%,Computer Services,US,"$28,687.16 ","6,596",UIS
Granite Construction Inc.,0.00%,Construction,US,"$236,882.65 ","4,585",GVA
