Company_Name,% of Market Value,Sector,Market Allocation,Market Value,Shares,Ticker
Alcoa Corp.,0.02%,Aluminum,US,"$949,799.55 ","18,876",AA
Arconic Corp.,0.01%,Aluminum,US,"$353,936.19 ","10,555",ARNC
Century Aluminum Co.,0.00%,Aluminum,US,"$62,874.41 ","5,402",CENX
CPS Technologies Corp.,0.00%,Aluminum,US,"$5,145.47 ","1,407",CPSH
Kaiser Aluminum Corp.,0.00%,Aluminum,US,"$151,845.21 ","1,705",KALU
TJX Cos. Inc.,0.21%,Apparel Retailers,US,"$12,412,163.62 ","116,230",TJX.BE
Ross Stores Inc.,0.09%,Apparel Retailers,US,"$5,271,981.28 ","36,458",ROST
Burlington Stores Inc.,0.03%,Apparel Retailers,US,"$1,803,515.99 ","6,904",BURL
American Eagle Outfitters Inc.,0.01%,Apparel Retailers,US,"$322,794.43 ","17,793",AEO
Boot Barn Holdings Inc.,0.01%,Apparel Retailers,US,"$310,102.80 ","3,158",BOOT
Foot Locker Inc.,0.01%,Apparel Retailers,US,"$560,170.66 ","9,847",FL
Gap Inc.,0.01%,Apparel Retailers,US,"$327,678.21 ","25,193",GPS
Kohl's Corp.,0.01%,Apparel Retailers,US,"$350,480.15 ","11,742",KSS
Victoria's Secret & Co.,0.01%,Apparel Retailers,US,"$357,578.16 ","8,511",VSCO
Abercrombie & Fitch Co.,0.00%,Apparel Retailers,US,"$168,167.67 ","5,273",ANF
Buckle Inc.,0.00%,Apparel Retailers,US,"$141,962.14 ","3,125",BKE
Caleres Inc.,0.00%,Apparel Retailers,US,"$112,229.13 ","3,633",CAL
Cato Corp.,0.00%,Apparel Retailers,US,"$21,027.38 ","1,881",CATO
Chico's FAS Inc.,0.00%,Apparel Retailers,US,"$85,937.88 ","12,585",CHS
Children's Place Inc.,0.00%,Apparel Retailers,US,"$51,769.52 ","1,289",PLCE
Citi Trends Inc.,0.00%,Apparel Retailers,US,"$22,928.44 ",980,CTRN
Designer Brands Inc.,0.00%,Apparel Retailers,US,"$60,138.32 ","5,420",DBI
Destination XL Group Inc.,0.00%,Apparel Retailers,US,"$33,354.27 ","5,608",DXLG
Duluth Holdings Inc.,0.00%,Apparel Retailers,US,"$14,115.72 ","1,664",DLTH
Express Inc.,0.00%,Apparel Retailers,US,"$8,402.87 ","7,681",EXPR
Genesco Inc.,0.00%,Apparel Retailers,US,"$61,679.80 ","1,313",GCO
Guess? Inc.,0.00%,Apparel Retailers,US,"$71,565.20 ","2,802",GES
J Jill Inc.,0.00%,Apparel Retailers,US,"$15,749.69 ",470,JILL
Lulu's Fashion Lounge Holdings Inc.,0.00%,Apparel Retailers,US,"$7,195.69 ","2,360",LVLU
Nordstrom Inc.,0.00%,Apparel Retailers,US,"$212,107.38 ","10,126",JWN
RealReal Inc.,0.00%,Apparel Retailers,US,"$15,829.94 ","10,432",REAL
Rent the Runway Inc.,0.00%,Apparel Retailers,US,"$19,491.10 ","5,512",RENT
Revolve Group Inc.,0.00%,Apparel Retailers,US,"$122,127.40 ","4,365",RVLV
Shoe Carnival Inc.,0.00%,Apparel Retailers,US,"$52,813.75 ","1,677",SCVL
Stitch Fix Inc.,0.00%,Apparel Retailers,US,"$38,537.09 ","8,341",SFIX
